text,file_name,,,local_path
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
""" Deliciously crunchy granola bars packed with chocolate chips for the perfect snack! 🍪😋""",snacks-3.png,"""C:\Users\91939\OneDrive\Desktop\Images\snacks\snacks-3.png""","./Images/snacks/snacks-3.png""","./images/snacks/snacks-3.png"""
""" Crispy apple chips with a touch of cinnamon—healthy, crunchy, and irresistibly delicious! 🍎😍""",snacks-4.png,"""C:\Users\91939\OneDrive\Desktop\Images\snacks\snacks-4.png""","./Images/snacks/snacks-4.png""","./images/snacks/snacks-4.png"""
"""These homemade oat and chocolate chip cookies are the perfect blend of chewy and crunchy 🍪✨, making snack time extra delightful! 😍""",snacks-5.png,"""C:\Users\91939\OneDrive\Desktop\Images\snacks\snacks-5.png""","./Images/snacks/snacks-5.png""","./images/snacks/snacks-5.png"""
Crispy golden potato bites with spicy ketchup for the perfect snack time! 🥔🔥,snacks-6.png,"""C:\Users\91939\OneDrive\Desktop\Images\snacks\snacks-6.png""","./Images/snacks/snacks-6.png""","./images/snacks/snacks-6.png"""
A delicious bite of bruschetta topped with fresh veggies and olives! 🍅🫒,snacks-7.png,"""C:\Users\91939\OneDrive\Desktop\Images\snacks\snacks-7.png""","./Images/snacks/snacks-7.png""","./images/snacks/snacks-7.png"""
"Crunchy and flavorful chakli, a classic Indian tea-time favorite! ☕🥨",snacks-8.png,"""C:\Users\91939\OneDrive\Desktop\Images\snacks\snacks-8.png""","./Images/snacks/snacks-8.png""","./images/snacks/snacks-8.png"""
"Grilled to perfection, this sandwich is packed with cheesy goodness! 🧀🥪",snacks-9.png,"""C:\Users\91939\OneDrive\Desktop\Images\snacks\snacks-9.png""","./Images/snacks/snacks-9.png""","./images/snacks/snacks-9.png"""
"Spicy and crispy sev, the ultimate crunchy munch for snack lovers! 🌶️🥢",snacks-10.png,"""C:\Users\91939\OneDrive\Desktop\Images\snacks\snacks-10.png""","./Images/snacks/snacks-10.png""","./images/snacks/snacks-10.png"""
"A healthy and crunchy snack made from finger millet, perfect with tea! ☕",snacks-11.png,"""C:\Users\91939\OneDrive\Desktop\Images\snacks\snacks-11.png""","./Images/snacks/snacks-11.png""","./images/snacks/snacks-11.png"""
"A spicy, crunchy medley of fried lentils, nuts, and spices.",snacks-12.png,"""C:\Users\91939\OneDrive\Desktop\Images\snacks\snacks-12.png""","./Images/snacks/snacks-12.png""","./images/snacks/snacks-12.png"""
